X8	sites
MB0351c	415520, 415529, 415674, 415721, 415821, 415830, 415854, 415915, 415944
MB0353	416267, 416346, 416422, 416455
MB0354c	416622, 416645, 416697, 416739, 416961, 417048, 417168, 417175, 417177, 417216, 417321, 417329, 417353, 417432, 417454, 417472, 417615, 417624, 417643, 417678, 417714, 417729, 417819, 417925, 417942, 417983
MB0355	418379, 418478, 418503, 418534, 418559, 418608, 418649, 418682, 418698, 418789, 418888, 418936, 419062, 419270, 419286
MB0356	419339, 419382, 419448, 419580, 419663, 419680, 419695, 419814, 419824, 419837, 419840, 419858, 419868, 419872, 419888, 419911, 419931, 419959
MB0357	420015, 420017, 420074, 420171, 420202, 420368, 420404, 420588
MB0358	421099, 421119, 421179, 421196, 421208, 421224, 421326, 421632, 421669, 421967, 422106, 422393, 422415, 422470, 422540, 422607
MB0359	422784, 422951, 422956, 423030, 423105, 423225, 423251, 423361, 423394, 423443
MB0360	423514, 423568, 423657, 423691, 423846, 423992, 424143, 424312, 424428, 424538, 424606, 424659
MB0361	424729, 424757, 424761, 424815, 424901
MB0362c	"425174, 425238, 425276, 425292, 425299, 425353, 425633, 425662, 425683, 425705, 425740, 425757, 425803, 425821, 425828, 425861, 425875, 425885, 425915, 425993, 426005, 426009, 426035, 426082, 426095, 426185, 426262, 426381, 426569, 426599, 426758, 426812, 426843, 426857, 427180, 427218, 427319, 427403, 427433, 427437, 427448, 427463, 427583, 427686, 427750, 428171, 428175, 428201, 428277, 428534, 428611, 428758, 428838, 428851, 428925, 429003, 429013, 429041, 429140, 429155, 429170, 429180, 429230, 
429290, 429305, 429330, 429671, 429688, 429701, 429705, 429726, 429731, 429831, 429859, 429915, 429999, 430092, 430195, 430197, 430225, 430287, 430351, 430368, 430523, 430553, 430613, 430631, 430643, 430647, 430703, 431078, 431095, 431108, 431112, 431138, 431236, 431392, 431444, 431524, 431592, 431806, 431816, 431884, 431920, 431991, 432015, 432035, 432095, 432110, 432168, 432455, 432459, 432485, 432489, 432510, 432515, 432729, 432751, 432817, 432972, 433112, 433177, 433186, 433210, 433317, 433365, 
433367, 433377, 433416, 433442, 433457, 433502, 433527, 433620, 433674, 433680, 433817, 433847, 433877, 433909, 433932, 434036, 434209, 434239, 434271, 434466, 434516, 434534, 434546, 434571, 434591, 434595, 434606, 434638, 434696, 434844, 434865, 435066, 435236, 435278, 435382, 435482, 435650"
MB0363c	435848, 435865, 435954, 435973, 436010, 436143, 436178, 436201, 436421, 436448
MB0364c	436597, 436675, 436718, 436747, 436807, 436837, 436921, 436981, 437027, 437077, 437083, 437166, 437260, 437357, 437377, 437390, 437426, 437428, 437450, 437461, 437648, 437689, 437735
MB0365	437880, 437882, 437960, 437997, 438043, 438090, 438126, 438193, 438217, 438367, 438418, 438439, 438489, 438522
MB0366	438658, 438775, 438799, 438880, 439013, 439034, 439064, 439073, 439096, 439228, 439302
MB0367c	439383, 439439, 439467, 439527, 439534, 439542, 439548, 439739
MB0368	439938, 440009, 440254, 440439, 440448, 440475, 440502, 440617
MB0369	441081, 441237, 441327, 441413, 441419, 441621, 441722, 441747, 441777, 441797, 441846, 441972, 442012, 442223
MB0370c	442283, 442291, 442370, 442385, 442433, 442475, 442514, 442542, 442673, 442712, 442775, 443003, 443060, 443241, 443255, 443291, 443310
MB0371	443457, 443479, 443673, 443742, 443775, 443791, 443853, 443931, 444036, 444050, 444085
MB0372c	444144, 444182, 444292, 444324, 444400, 444453, 444589, 444595, 444636, 444715, 444741, 444873, 444931, 444934, 445069, 445214
MB0373c	445240, 445259, 445375, 445539, 445549, 445678
MB0374c	445973, 446001
MB0375c	446407, 446583, 446624, 446639, 446647, 446663, 446679, 446717, 446803, 446815, 447164, 447300, 447321, 447348, 447382, 447398
MB0376c	447615, 447673, 447728, 447841, 448015, 448023
MB0377c	448184, 448195, 448214, 448325, 448465, 448480, 448617, 448723, 448735, 448752, 448763, 448800, 448813, 448825, 448855, 448880, 448964, 448975, 449008
MB0378c	449088, 449227, 449259, 449560, 449568, 449576, 449621
MB0379c	449784, 449845, 449870, 449993, 450047
MB0380c	450422, 450628, 450662, 450757, 450869, 450878, 450884, 450905, 451042, 451157, 451465, 451475, 451497, 451514, 451529, 451553, 451576, 451652, 451685, 451713, 451715, 451736, 451754, 451790, 451815, 451901, 452000, 452009, 452096, 452098, 452164, 452216, 452396, 452435, 452509, 452521, 452639, 452696, 452779
MB0381c	452832, 452881, 452972, 453075, 453176, 453276
MB0382c	453402, 453651, 453695, 453726, 453755, 454023, 454062
MB0383c	454259, 454263, 454283, 454315, 454469, 454521, 454612, 454641, 454703, 454869, 455108, 455153, 455184, 455235, 455237, 455276, 455294
MB0384	455462, 455490, 455581, 455916, 455933, 455962, 456042, 456325, 456401
MB0385	456802
MB0386	457003, 457156, 457207
MB0387c	457286, 457318, 457359, 457428, 457453, 457585, 457595, 457698, 457752, 457787, 457793
MB0388c	457984, 458015, 458030, 458049, 458083, 458218, 458225, 458261, 458371, 458384, 458410, 458416, 458581, 458662, 458749
MB0389c	458859, 459019, 459028, 459041, 459082, 459210, 459239, 459297, 459300
MB0390c	459488, 459640, 459922, 459935, 460085, 460122, 460177, 460199, 460271
MB0391c	460615, 460808, 461002, 461047, 461056, 461104, 461509, 461876, 461878, 461947, 462007, 462061, 462093, 462268, 462529, 462547, 462706, 462873, 462966, 463007
MB0392	463233, 463264, 463332, 463407, 463428, 463452, 463454, 463470, 463674, 463677, 463689, 463731, 463919, 464010, 464025, 464094, 464124, 464176, 464196
MB0393	464582, 464610, 464702, 464746, 464918, 464946, 465312, 465353, 465433, 465484, 465727, 465734, 465753, 465841, 465919, 465926, 465946, 466009, 466012, 466057, 466100, 466178, 466335, 466436, 466462, 466496, 466527, 466660, 466792, 466815, 466861, 466872, 466879, 467037, 467169, 467338, 467350, 467452, 467508, 467623, 467679
MB0394c	467690, 467716, 467797, 467806, 467990, 468015, 468017, 468108, 468116, 468272, 468325, 468337, 468391, 468412, 468445, 468448, 468560, 468602, 468615, 468694, 468719, 468731, 468806, 468887, 468974, 469003
MB0395	469395, 469522, 469893, 469958, 470088, 470254, 470501, 470588
MB0396	470616, 470627, 470663, 470757, 470858, 470934, 470936
MB0397	471149, 471164, 471170, 471221, 471227, 471236, 471330, 471615, 471630, 471671, 471723, 471740, 471810, 471838, 471926, 471947, 471991, 472247
MB0398c	472333, 472343, 472445, 472484, 472562, 472631, 472669, 472699, 472898, 473055, 473285, 473324, 473492, 473559, 473595
MB0399	473873, 473912, 473987, 474011, 474122, 474232, 474244, 474850
MB0400c	475244, 475284, 475381, 475404, 475494, 475611, 475717, 475783, 475813, 475860
MB0401	475983, 476068, 476089, 476159, 476246, 476278, 476344, 476361
MB0402	476388, 476456, 476474, 476602, 476759
MB0403	476916, 477072, 477158, 477201
MB0403A	477444, 477484, 477508, 477564, 477566, 477603, 477659
MB0404c	477699, 477729, 477786, 477825, 477978, 478153
MB0405c	478347, 478385, 478409, 478412, 478431, 478464, 478506, 478524, 478565, 478584, 478590, 478674, 478734, 478803, 478998, 479013, 479037, 479069, 479101, 479106, 479142, 479171, 479286
MB0406c	479586, 479655, 479700, 479729, 479949, 480009, 480455, 480516, 480614
MB0407	480924, 480954, 481052
MB0408c	481375, 481516, 481587, 481722, 481738, 481802, 481966, 481993, 482017, 482034, 482160, 482218, 482385
MB0409c	482530, 482585, 482617, 482629, 482648, 482710, 482720, 482833, 482863, 482914, 482994, 483027, 483030, 483042, 483054, 483086, 483185, 483283, 483291, 483304, 483318, 483384, 483387, 483429, 483453, 483505, 483615, 483661, 483687, 483689, 483729, 483840, 483947, 483957, 484091, 484111, 484124, 484153, 484232
MB0410c	484283, 484378, 484404, 484463, 484505, 484523, 484633
MB0411	"485003, 485005, 485067, 485116, 485118, 485145, 485149, 485152, 485157, 485194, 485217, 485233, 485269, 485290, 485297, 485317, 485383, 485387, 485404, 485408, 485419, 485429, 485453, 485476, 485493, 485502, 485504, 485542, 485552, 485558, 485579, 485585, 485589, 485652, 485668, 485684, 485735, 485741, 485771, 485828, 485863, 485872, 485876, 485881, 485902, 485912, 485917, 485946, 485979, 486003, 486059, 486085, 486089, 486118, 486121, 486126, 486179, 486200, 486224, 486236, 486243, 486275, 486355, 
486358, 486372, 486386, 486401, 486415, 486423, 486434, 486443, 486458, 486487, 486529, 486551, 486560, 486563, 486595, 486613, 486628, 486646, 486686, 486711, 486722, 486736"
MB0412	486775, 486800, 486814, 486843, 486856, 486864, 486888, 486928, 486952, 486958, 486964, 486979, 486997, 487011, 487062, 487111, 487131, 487164, 487172, 487227, 487249, 487252, 487264, 487311, 487335, 487351, 487365, 487378, 487386, 487412, 487432, 487450, 487453, 487462, 487483, 487486, 487495, 487505, 487516, 487578, 487597, 487642, 487669, 487717, 487737, 487759, 487806, 487809, 487846, 487858, 487861, 487876, 487943, 487974, 487981, 488001, 488068
MB0413	488162, 488180, 488212, 488448, 488490, 488681, 488697, 488706, 488813, 488862, 489058, 489348, 489362, 489398, 489639, 489817, 489899, 489922, 489926, 489934, 489952, 490000, 490008, 490024, 490099, 490160, 490198, 490229, 490246, 490253, 490264, 490273, 490290, 490298, 490332, 490340, 490388, 490405, 490409, 490418, 490429, 490461, 490485, 490550, 490554, 490562, 490610, 490636, 490666, 490698, 490730, 490751, 490774, 490778, 490792, 490842, 490849, 490858, 490903, 490907, 490915, 490956
MB0414c	491017, 491046, 491083, 491162, 491301, 491369, 491389, 491408, 491507, 491596, 491676
MB0415	491818, 491823, 491869, 491993, 492042, 492090, 492153, 492214, 492261, 492264, 492288, 492318, 492351, 492383, 492408, 492433, 492504, 492691, 492699, 492727
MB0416	492826, 492855, 492930, 492955, 492968, 493000, 493024, 493078, 493129, 493293, 493304, 493374, 493378, 493382, 493427, 493454, 493509, 493560, 493709, 493738, 493778, 493850, 493878, 493887, 493906, 494096, 494143, 494157, 494212, 494258, 494330, 494375, 494383, 494433, 494500, 494608, 494703, 494719, 494777, 494798, 494825, 494875
MB0417	495204, 495265, 495305, 495340, 495350, 495377, 495575, 495678, 495684, 495722, 495752, 495764, 495802, 495867, 495871
MB0418c	496082, 496130, 496153, 496447, 496559, 496588, 496641, 496679, 496712, 496816, 496894, 497033, 497101, 497237, 497246, 497288, 497348, 497414, 497420, 497513, 497537, 497567, 497633, 497648, 497837, 497882, 497911, 497930, 497945
MB0419c	498343, 498397, 498493, 498524, 498532, 498546, 498671, 498784, 498904
MB0420c	499326, 499376, 499510, 499528, 499557, 499575, 499671, 499710, 499831, 499843, 499858, 499903, 499933, 500054, 500076, 500136, 500199, 500296, 500310, 500345, 500391, 500479
MB0421	500753, 500813, 500825, 501083, 501189, 501322, 501361, 501383
MB0422c	501558, 501628, 501782, 501807, 501817, 501873, 502003
MB0423	502180, 502366, 502564, 502771, 502820, 502872, 502917, 502948, 502969, 502982, 503007, 503125
MB0424	503307, 503347, 503361
MB0425	503444, 503473, 503498, 503521, 503728, 503773, 503778, 503812, 503819, 503873, 503891, 504075
MB0426	504589, 504601, 504622, 504696, 504758, 504776, 504783, 504905, 504992, 505029, 505147, 505150, 505203, 505437, 505490, 505535, 505574, 505583, 505608, 505673, 505730, 505853, 505882, 505903, 505925, 505940
MB0427	506193, 506211, 506408, 506423, 506474, 506494, 506522, 506606, 506683, 506741, 506764, 506779, 507119, 507167, 507296, 507354, 507432, 507436, 507581, 507599
MB0428c	507700, 507706, 507761, 507818, 507827, 507839, 507891
MB0429c	508157, 508178, 508375, 508413, 508485, 508611, 508623, 508711, 508721
MB0430c	508829, 508963, 508985, 509003, 509119, 509127, 509131, 509251, 509421, 509446, 509485, 509505
MB0431c	509620, 509725, 509974, 510040, 510106, 510145, 510212, 510367, 510380, 510406, 510505, 510538, 510580, 510634, 510918, 511028, 511075, 511093, 511151, 511183
MB0432c	511397, 511449, 511461, 511535, 511538, 511599, 511620, 511656
MB0433c	511734, 511805, 511816, 512273, 512416, 512705, 512800, 512857, 512918, 513205, 513521, 513623, 513840, 514044, 514156, 514243, 514319, 514374, 514518, 514633, 514719, 514792, 514856, 515069, 515255, 515684, 515699, 515795, 515828, 516012, 516223, 516292, 516340
MB0434c	516393, 516569, 516679
MB0435c	517037, 517092, 517105, 517202, 517211, 517217, 517246, 517249, 517411, 517428, 517460, 517466, 517502, 517688
MB0436c	517915, 517922, 517951, 518026, 518200, 518253, 518266, 518385, 518440, 518483, 518493, 518504, 518514, 518724
MB0437c	518823, 518919, 518943, 519010, 519070, 519140, 519219, 519294, 519374, 519404
MB0438	519920, 519923, 519984
MB0439	520100, 520126, 520301, 520335, 520423, 520455, 520458, 520498, 520510
MB0440	520738, 520750, 520840, 520869, 520901, 520936, 520962, 520981, 521051, 521068, 521109, 521243, 521339
MB0441	521527, 521543, 521555, 521697, 521755, 521820, 521823, 521883, 521976, 522008, 522029, 522031, 522091, 522225, 522365, 522369, 522387, 522439, 522471
MB0442	522629, 522684, 522721, 522785, 522787, 522848, 522864, 522942, 522996, 523043, 523085, 523184
MB0443c	523367, 523398, 523509, 523551, 523553, 523681, 523711, 523738, 523767, 523906, 524042, 524074, 524388, 524530, 524556, 524836, 524839, 524964, 525133, 525187, 525266, 525516
MB0444c	525601, 525713, 525724, 525754, 525785, 525814, 525825, 525873, 525951, 526015, 526051, 526065, 526068, 526084, 526135, 526365, 526377
MB0445c	526488, 526492, 526524, 526676, 526763
MB0446c	527163, 527283, 527315, 527369, 527391, 527494, 527577, 527613, 527667, 527781, 527798, 527947, 528219, 528316, 528347
MB0447c	528534, 528537, 528646, 528750, 528766, 528786, 528804, 528914, 528926, 528952, 529015, 529022, 529041, 529052, 529190, 529230, 529306
MB0448	529645, 529703, 529819, 529853, 530196, 530215, 530227, 530275, 530352, 530493, 530570, 530698, 531070
MB0449c	531316, 531345, 531411, 531487, 531494, 531554, 531679, 531691, 531726
MB0450c	531771, 531810, 531837, 531871, 531892, 531939, 531958, 532185, 532232, 532382, 532486, 532516, 532764, 532806, 532858, 532895, 532946, 533006, 533010, 533065, 533099, 533153
MB0451	533523, 533588, 533590, 533659, 533685, 533716, 533745, 533748, 533762, 533778, 533822, 533907
MB0452c	534139, 534303, 534419, 534541, 534562, 534762, 534796
MB0453c	534952, 534967, 534970, 535102, 535240, 535267, 535274, 535303, 535327
MB0454c	535501, 535519, 535549, 535591, 535687, 535761, 535799, 535818, 535842, 535917, 535975, 536011, 536055, 536058, 536136, 536155, 536229
MB0455c	536277, 536289, 536316, 536325, 536363, 536392, 536427, 536510, 536532, 536636, 536649, 536699, 536709, 536730, 536750, 536813, 537018, 537069, 537080, 537082, 537121, 537170, 537246, 537366, 537440
MB0456c	537550, 537571, 537757, 537764, 537767, 537775, 537797, 537838, 537845, 537863, 537947, 537981, 538047, 538151, 538160, 538169
MB0457c	538360, 538374, 538404, 538435, 538450, 538513, 538539, 538555, 538594, 538672, 538803, 538885, 538910, 538972, 539044, 539056, 539188, 539248, 539344, 539425, 539467, 539500
MB0458c	"539667, 539730, 539865, 539940, 539977, 540050, 540072, 540131, 540161, 540194, 540256, 540273, 540308, 540323, 540371, 540457, 540494, 540566, 540675, 540717, 540751, 540769, 540775, 540825, 540878, 540905, 540985, 540990, 541073, 541118, 541160, 541182, 541234, 541251, 541263, 541267, 541282, 541294, 541320, 541415, 541449, 541491, 541531, 541562, 541615, 541624, 541627, 541669, 541686, 541693, 541700, 541748, 541766, 541782, 541845, 541855, 541871, 541874, 541892, 541919, 541937, 541969, 541977, 
542016, 542080, 542099, 542136, 542165, 542197, 542200, 542204, 542238, 542241, 542291, 542379, 542480, 542501, 542504"
MB0459c	542529, 542533, 542535, 542582, 542611, 542614, 542629, 542662, 542678, 542724, 542728, 542766, 542779, 542820, 542924
MB0460	543329, 543347, 543417, 543600, 543677, 543737, 543796, 543814
MB0461	544209, 544252, 544275, 544316, 544418, 544493, 544596, 544622, 544664, 544765, 544877, 544886, 544888, 545029, 545050, 545148, 545236, 545345, 545530
MB0462	545943, 545953, 545975, 546120, 546144, 546175, 546202
MB0463c	546395, 546456, 546530, 546545, 546641, 546650, 546653, 546666, 546686, 546727, 546840
MB0464c	546909, 546975, 547128, 547329, 547350, 547369, 547371, 547428, 547620, 547791, 547822
MB0465c	548226, 548263, 548299, 548316
MB0466A	548378, 548457
MB0466c	548626, 548708, 548711, 548790, 548806, 548816, 548843, 548852, 548897, 548936, 549164, 549197, 549242, 549275, 549332, 549368, 549376, 549427, 549468, 549549, 549653, 549659, 549697, 549728, 549758, 549878, 550116, 550241, 550349, 550412, 550418, 550439, 550543, 550585, 550589
MB0467	550739, 550751, 550799, 551075, 551141, 551291, 551447, 551636, 551759, 551794, 551820, 551843, 551846, 551942, 551978, 552023, 552071, 552080, 552107, 552158, 552188, 552196
MB0468	552275, 552346, 552445, 552613, 552635
MB0469	552779, 552796, 552862
MB0470	553230, 553235, 553246, 553248, 553252, 553277, 553292, 553330, 553339, 553384, 553510, 553516, 553519, 553522, 553564, 553567
MB0471	553642, 553678, 553738, 553751, 553770, 553867, 553879, 553898, 553966, 554019, 554064, 554105, 554113, 554157, 554194, 554209, 554406, 554458, 554518, 554526, 554545, 554570, 554609, 554740, 554849
MB0472	555104, 555177, 555320
MB0473c	555333, 555390, 555404, 555506, 555578, 555602, 555645, 555659, 555719, 555732, 555756, 555874, 555904
MB0474c	555920, 556029, 556044, 556079, 556134, 556148, 556190, 556256, 556390, 556421, 556433, 556460, 556496, 556523, 556527, 556619, 556703, 556750, 556855, 556859, 556874, 556880, 557071, 557225, 557283, 557312
MB0475	557695, 557930, 558029, 558050, 558177, 558208, 558221
MB0476	558633, 558810, 558861, 558879, 558965, 559038, 559229, 559320, 559368, 559458, 559479, 559611, 559632, 559638, 559662, 559707, 559746, 559830
MB0477	559936, 560095, 560158, 560165, 560273, 560438, 560511, 560635, 560691, 560717, 560763, 560769
MB0478	560917, 560928, 560949, 560983, 561000, 561012, 561113, 561159, 561179, 561207, 561299, 561342, 561366, 561373, 561417, 561419, 561476, 561517, 561597, 561610, 561638, 561678, 561687, 561696, 561765
MB0479c	561868, 561901, 561937, 561946, 561955, 562036, 562090, 562291, 562474, 562621, 562633, 562684, 562730
MB0480c	562971, 563031, 563110, 563118, 563122, 563126, 563179, 563216, 563238, 563270
MB0481c	563321, 563324, 563378, 563380, 563422, 563437, 563453, 563470, 563483, 563689
MB0482c	563743, 563860, 563941, 564068, 564088, 564121, 564161, 564256, 564262, 564297, 564434
MB0483	564594, 564770, 564841, 564867, 564923, 564942, 565055, 565200, 565278, 565404, 565428, 565559, 565730, 565774, 565927
MB0484	566187, 566216, 566280, 566345, 566384, 566388, 566399, 566460
MB0485	566944, 567058, 567074, 567091, 567098, 567132, 567188, 567229, 567295, 567413
MB0486	567534, 567566, 567605, 567607, 567683, 567737
MB0487	567847, 567900, 567981, 568001, 568119, 568239
MB0488	568281, 568361, 568797
MB0489c	569061, 569180, 569326, 569359, 569405, 569458, 569476, 569566, 569586, 569588, 569851
MB0490c	570003, 570034, 570133, 570160, 570239, 570253, 570360, 570362, 570386, 570427, 570456, 570485, 570503, 570559, 570755, 570837
MB0491c	571002, 571011, 571025, 571058, 571110, 571224, 571335, 571341, 571396, 571408, 571444, 571475
MB0492	571543, 571765, 571786, 571834, 571925, 572129, 572306, 572360, 572566, 572574, 572609
MB0493	572701, 572710, 572720, 573000, 573021, 573045, 573057, 573203, 573253, 573345, 573348, 573359, 573387, 573414, 573428, 573540, 573603, 573615, 573639, 573647, 573707, 573752, 573783, 573786, 573801, 573846, 574007, 574010
MB0494c	574038, 574138, 574141, 574160, 574319, 574337, 574438
MB0495	574950, 574958, 575022, 575113, 575126, 575251, 575366, 575415, 575557, 575658, 575664, 575680, 575685, 575924, 575998, 576038, 576045, 576080, 576169, 576180
MB0496	576521, 576677, 576749, 576752, 576773, 576907, 577086, 577092, 577361, 577631, 577652, 577689, 577701
MB0497	577816, 577976, 577978, 578011, 578023, 578050, 578120, 578201, 578246, 578299
MB0498	578744, 578754, 578852, 578898, 578905, 579024, 579118, 579140, 579154
MB0499	579598, 579615, 579698, 579723, 579768, 579804, 579867, 579933, 580089, 580130, 580134, 580194
MB0500	580589, 580614, 580740, 580820, 580840, 580902, 581019, 581028, 581053, 581074, 581104, 581228, 581431, 581516
MB0501	582147, 582251, 582266, 582449, 582518, 582626
MB0502c	582679, 583003, 583027, 583034, 583154, 583302, 583463, 583934, 583946, 583968, 584192, 584339, 584411, 584498, 584505, 584529
MB0503c	584559, 584572, 584712, 584722
MB0504c	584875, 585015, 585026, 585050, 585059, 585137, 585206, 585224, 585242, 585306, 585505, 585536, 585651, 585695, 585703, 585732
MB0505	586021, 586192, 586320, 586371, 586425, 586521, 586557, 586572
MB0506c	586576, 586602, 586617, 586657, 586674, 586750, 586795, 586982, 587047, 587220, 587249, 587290, 587381, 587413
MB0507	587866, 588152, 588200, 588234, 588240, 588278, 588350
MB0508	588650, 588846, 588917, 588924, 588950, 589017, 589306, 589315, 589321, 589345, 589391, 589424
MB0509	589518, 589548, 589566, 589681, 589806, 589840, 589937, 589986, 590016, 590066
MB0510	590502, 590624, 590851, 591035, 591054, 591207
MB0511	591263, 591337, 591369, 591384, 591544, 591564, 591580, 591644, 591786, 591965, 591992, 592007, 592109
MB0512	592270, 592385, 592481, 592496
MB0512A	592636, 592725
MB0513	592868, 592908, 592916, 593035, 593111, 593152, 593240, 593317, 593342, 593374, 593386, 593441, 593649, 593684, 593714, 593723, 593734, 593768, 593807, 593836, 593853, 593877, 593883, 593933
MB0514	594239, 594288, 594535, 594547, 594608, 594622, 594648, 594675, 594687, 594740, 594791, 594802, 594837, 594896, 594975, 594977
MB0515c	595023, 595056, 595088, 595092, 595101, 595110, 595157, 595191, 595212, 595245, 595248, 595375, 595422, 595446, 595608, 595650, 595758, 595780, 595797, 595809, 595860
MB0516c	595954, 596063, 596122, 596134, 596216, 596283, 596326, 596410
MB0517c	596632, 596639, 596826, 596838, 596945, 596987, 597024, 597047, 597126, 597233, 597255, 597279, 597288, 597542, 597548, 597587, 597596, 597736
MB0518	597996, 598000, 598096, 598135, 598245, 598290
MB0519	"598471, 598647, 598649, 598764, 598776, 598787, 598806, 598872, 598928, 598934, 598978, 598986, 598996, 599000, 599148, 599155, 599172, 599187, 599217, 599283, 599310, 599339, 599389, 599547, 599559, 599681, 599687, 599719, 599729, 599733, 599747, 599837, 599840, 599874, 599881, 599906, 599934, 599993, 600004, 600011, 600016, 600056, 600066, 600072, 600115, 600124, 600131, 600171, 600185, 600191, 600200, 600241, 600275, 600303, 600305, 600323, 600384, 600542, 600553, 600585, 600617, 600636, 600667, 
600712, 600775, 600810, 600864, 600926, 600944, 600986, 601022, 601037, 601138, 601254"
MB0520	601459, 601494, 601496, 601515, 601527, 601535, 601540
MB0521	601624, 601657, 601757, 601764, 601825, 601850, 601856, 601865, 601964, 602187, 602317, 602353, 602445, 602493, 602606, 602757, 602791, 602837, 602910, 602992
MB0523	603018, 603022, 603227, 603309, 603391, 603426, 603438, 603442, 603459, 603463, 603543, 603935
MB0524	603984, 604044, 604103, 604241, 604376, 604462, 604509, 604589, 604784, 604849, 604918, 605213, 605230, 605347, 605382, 605420, 605501, 605665
MB0525	605768, 605902, 605922, 605943, 605947, 606212, 606288, 606323, 606347, 606374, 606403, 606428, 606527, 606581, 606599, 606628, 606657, 606707, 606717, 606736
MB0526	606772, 606794, 606815, 606867, 606894, 607040, 607125
MB0527	607444
MB0528	607867, 607987, 608016, 608034, 608053, 608077, 608193, 608242, 608674, 608775, 608785, 608827, 608835, 608882, 608922, 608926, 609013, 609082, 609211
MB0529c	609228, 609234, 609287, 609348, 609360, 609378, 609589, 609613, 609680
MB0530	609908, 609932, 610004, 610045, 610138, 610182, 610266, 610307, 610365, 610407, 610467, 610599, 610601, 610713, 610755, 610920, 610943, 610971, 611055, 611146, 611160
MB0531	611353, 611357, 611420, 611441, 611449, 611477, 611479, 611600, 611763, 611818, 611829, 611984
MB0532c	612323, 612368, 612449, 612481, 612530, 612539, 612656, 612702, 612782, 613219
MB0533	613464, 613497, 613549, 613705, 613747
MB0534	613823, 613889, 613908, 613995
MB0535	614278, 614368, 614419, 614425, 614435, 614477, 614482, 614720, 614777, 614935, 614961, 615000, 615034, 615036, 615194, 615241, 615249, 615305, 615385, 615445, 615477
MB0536c	615497, 615552, 615612, 615675, 615739, 615744, 615809, 615834, 615863
MB0537	616016, 616070, 616134, 616180, 616184, 616310, 616334, 616352, 616383, 616450, 616511, 616621, 616640, 616682, 616831, 616957, 617038, 617136, 617248
MB0538	617426, 617439, 617533, 617708, 617739, 617853, 617864, 617928, 617958
MB0539	618161, 618321, 618332, 618434, 618446, 618488
MB0540	618698, 618760, 618769, 619064, 619204
MB0541	619522, 619575, 619662, 619736, 619905, 619989, 620011, 620139, 620184, 620235, 620283, 620301, 620430, 620565, 620888, 620893
MB0542	621077, 621293, 621309, 621371, 621509, 621548, 621594, 621682, 621728, 621774, 621812, 621863, 621872, 621998
MB0543	622197, 622243, 622252, 622255, 622303, 622326, 622333, 622408, 622507, 622714, 622732, 622816, 622849, 622914, 622925, 623272
MB0543A	623282, 623389, 623425
MB0544	623493, 623525, 623533
MB0545	623948, 623959, 624002, 624114, 624126, 624201, 624351, 624591, 624684, 624914, 625104, 625434
MB0546	625751, 625769, 625819
MB0547c	625941, 625969, 626128, 626249, 626257, 626345, 626386, 626594, 626629, 626663, 626724
MB0548c	626807, 626884, 626992, 627035, 627160, 627206, 627272, 627278, 627299, 627503, 627515
MB0549	627749, 627797, 627884, 627905, 628055, 628097, 628281, 628286
MB0550	628550, 628753, 628849, 628864, 629017, 629047, 629098, 629110, 629140, 629301, 629360, 629407
MB0551c	629543, 629567, 629774, 629863, 629938, 629984, 629999, 630188, 630197, 630339, 630385, 630395, 630470, 630522, 630530, 630585, 630737, 630875
MB0552	631411, 631558, 631645, 631790, 631916, 632010, 632028, 632052, 632070, 632218, 632347, 632372, 632914
MB0553	633060, 633146, 633195, 633527
MB0554	633651, 633705, 633795, 633846, 633860, 634061, 634071, 634169, 634217
MB0555c	634300, 634332, 634545, 634572, 634618, 634654, 634673, 634675, 634825, 634854, 634951, 635278, 635412, 635444, 635488, 635580
MB0556c	635661, 635732, 635750, 635810, 636124, 636128, 636183, 636216, 636337, 636375, 636401, 636413, 636510, 636641
MB0557c	636818
MB0558c	637180, 637241, 637243, 637263, 637386, 637401, 637438
MB0559c	637731, 637884, 637939, 637976, 638007, 638011, 638088, 638203, 638235, 638285, 638570
MB0560c	638844, 638878, 639059, 639113, 639149, 639170, 639187
MB0561c	639454, 639496, 639499, 639527, 639586, 639644, 639689, 639706, 639709, 639941
MB0562c	640257, 640263, 640301, 640341, 640545, 640556, 640605, 640617, 640668, 640851, 640857, 640992, 641085
MB0563c	641563
MB0564c	641679, 641806, 641819
MB0565c	642080, 642099, 642111
MB0566c	642340, 642405, 642706, 642709, 642764, 642799, 642876, 642955, 642988, 642991, 643032, 643063, 643066, 643126, 643157, 643185, 643215, 643287, 643365, 643376, 643402, 643415, 643462, 643482, 643639, 643776, 643798, 643808, 643893, 643974, 644022
MB0567	644343, 644465, 644585, 644654, 644730, 644885, 644998, 645017, 645051, 645080, 645116, 645188, 645326, 645418, 645623, 645631, 645725
MB0568	645737, 645755, 645778, 645886, 645937, 645978, 646219, 646386, 646404, 646684, 646697
MB0569	646725, 646760, 646936, 647078, 647100, 647130, 647149, 647231, 647260, 647295, 647358, 647400, 647410
MB0570	647718, 647823, 647865, 647913, 648008, 648162, 648424, 648467, 648724, 648787, 648792, 648941, 649062
MB0571	649206, 649264, 649293, 649311, 649387, 649390, 649472, 649496, 649509, 649529, 649538, 649579, 649659
